,team,Record,Home Record,Away Record,ATS,OU
0,BAL,7 - 8,5 - 2,5 - 3,9 - 6 - 0,12 - 3 - 0
1,KC,8 - 7,8 - 0,6 - 1,6 - 9 - 0,7 - 8 - 0
2,GB,8 - 7,6 - 2,5 - 2,8 - 6 - 1,6 - 8 - 1
3,PHI,7 - 8,6 - 1,6 - 2,9 - 6 - 0,6 - 9 - 0
4,PIT,6 - 9,5 - 1,5 - 4,10 - 5 - 0,8 - 7 - 0
5,ATL,8 - 7,4 - 4,4 - 3,6 - 9 - 0,5 - 10 - 0
6,ARI,8 - 7,5 - 3,2 - 5,9 - 6 - 0,7 - 7 - 1
7,BUF,7 - 8,7 - 0,5 - 3,9 - 6 - 0,9 - 5 - 1
8,TEN,7 - 8,1 - 6,2 - 6,2 - 12 - 1,9 - 6 - 0
9,CHI,8 - 7,4 - 4,0 - 7,6 - 7 - 2,6 - 9 - 0
10,NE,6 - 9,1 - 5,2 - 7,6 - 8 - 1,9 - 6 - 0
11,CIN,7 - 8,2 - 5,5 - 3,9 - 6 - 0,10 - 5 - 0
12,HOU,7 - 8,5 - 2,4 - 4,6 - 8 - 1,5 - 9 - 1
13,IND,7 - 8,4 - 3,3 - 5,9 - 6 - 0,8 - 7 - 0
14,JAX,7 - 8,2 - 5,1 - 7,8 - 7 - 0,8 - 7 - 0
15,MIA,8 - 7,5 - 3,2 - 5,6 - 9 - 0,7 - 8 - 0
16,CAR,9 - 6,3 - 6,1 - 5,7 - 8 - 0,11 - 4 - 0
17,NO,8 - 7,3 - 5,2 - 5,6 - 9 - 0,7 - 8 - 0
18,MIN,8 - 7,7 - 1,6 - 1,10 - 4 - 1,6 - 9 - 0
19,NYG,8 - 7,0 - 8,2 - 5,4 - 11 - 0,5 - 10 - 0
20,LV,7 - 8,2 - 5,1 - 7,7 - 8 - 0,8 - 7 - 0
21,LAC,8 - 7,5 - 3,4 - 3,11 - 4 - 0,6 - 9 - 0
22,DEN,7 - 8,5 - 2,4 - 4,11 - 4 - 0,10 - 5 - 0
23,SEA,9 - 6,3 - 6,5 - 1,6 - 9 - 0,8 - 7 - 0
24,DAL,8 - 7,2 - 6,5 - 2,6 - 9 - 0,10 - 5 - 0
25,CLE,7 - 8,2 - 5,1 - 7,4 - 11 - 0,6 - 9 - 0
26,WAS,8 - 7,6 - 2,4 - 3,9 - 6 - 0,10 - 5 - 0
27,TB,7 - 8,3 - 4,5 - 3,9 - 6 - 0,10 - 5 - 0
28,LA,7 - 8,4 - 3,5 - 3,8 - 7 - 0,7 - 8 - 0
29,DET,8 - 7,6 - 2,7 - 0,10 - 4 - 1,8 - 6 - 1
30,NYJ,7 - 8,2 - 5,2 - 6,5 - 10 - 0,8 - 7 - 0
31,SF,8 - 7,4 - 4,2 - 5,5 - 10 - 0,8 - 6 - 1
