,team,Record,Home Record,Away Record,ATS,OU
0,BAL,6 - 8,4 - 2,5 - 3,8 - 6 - 0,11 - 3 - 0
1,KC,7 - 7,7 - 0,6 - 1,5 - 9 - 0,6 - 8 - 0
2,GB,7 - 7,5 - 2,5 - 2,7 - 6 - 1,6 - 7 - 1
3,PHI,7 - 7,6 - 1,6 - 1,9 - 5 - 0,5 - 9 - 0
4,PIT,6 - 8,5 - 1,5 - 3,10 - 4 - 0,7 - 7 - 0
5,ATL,7 - 7,3 - 4,4 - 3,5 - 9 - 0,5 - 9 - 0
6,ARI,8 - 6,5 - 3,2 - 4,9 - 5 - 0,6 - 7 - 1
7,BUF,6 - 8,6 - 0,5 - 3,9 - 5 - 0,9 - 4 - 1
8,TEN,7 - 7,1 - 6,2 - 5,2 - 11 - 1,8 - 6 - 0
9,CHI,7 - 7,4 - 3,0 - 7,6 - 6 - 2,5 - 9 - 0
10,NE,6 - 8,1 - 5,2 - 6,5 - 8 - 1,9 - 5 - 0
11,CIN,6 - 8,1 - 5,5 - 3,8 - 6 - 0,10 - 4 - 0
12,HOU,7 - 7,5 - 2,4 - 3,6 - 7 - 1,4 - 9 - 1
13,IND,6 - 8,3 - 3,3 - 5,8 - 6 - 0,7 - 7 - 0
14,JAX,7 - 7,2 - 5,1 - 6,8 - 6 - 0,8 - 6 - 0
15,MIA,7 - 7,4 - 3,2 - 5,5 - 9 - 0,6 - 8 - 0
16,CAR,8 - 6,2 - 6,1 - 5,6 - 8 - 0,10 - 4 - 0
17,NO,8 - 6,3 - 5,2 - 4,6 - 8 - 0,7 - 7 - 0
18,MIN,8 - 6,7 - 1,5 - 1,9 - 4 - 1,5 - 9 - 0
19,NYG,8 - 6,0 - 8,2 - 4,4 - 10 - 0,5 - 9 - 0
20,LV,6 - 8,1 - 5,1 - 7,6 - 8 - 0,8 - 6 - 0
21,LAC,7 - 7,4 - 3,4 - 3,10 - 4 - 0,5 - 9 - 0
22,DEN,7 - 7,5 - 2,4 - 3,11 - 3 - 0,9 - 5 - 0
23,SEA,8 - 6,3 - 5,5 - 1,6 - 8 - 0,7 - 7 - 0
24,DAL,7 - 7,1 - 6,5 - 2,5 - 9 - 0,9 - 5 - 0
25,CLE,7 - 7,2 - 5,1 - 6,4 - 10 - 0,6 - 8 - 0
26,WAS,7 - 7,5 - 2,4 - 3,8 - 6 - 0,9 - 5 - 0
27,TB,7 - 7,3 - 4,5 - 2,9 - 5 - 0,9 - 5 - 0
28,LA,7 - 7,4 - 3,4 - 3,7 - 7 - 0,7 - 7 - 0
29,DET,8 - 6,6 - 2,6 - 0,9 - 4 - 1,7 - 6 - 1
30,NYJ,6 - 8,2 - 4,2 - 6,5 - 9 - 0,8 - 6 - 0
31,SF,8 - 6,4 - 4,2 - 4,5 - 9 - 0,7 - 6 - 1
